PMID23223431Line147|88 92|GATA2 
PMID22898539Line302|249 263|zeste homologue 2 
PMID22898539Line302|265 268|EZH2 
PMID22898539Line302|348 351|PRC1 
PMID22898539Line302|597 600|EZH2 
PMID22898539Line302|833 860|suppressor of zeste 12 homologue 
PMID22898539Line302|862 866|SUZ12 
PMID22898539Line302|905 910|JARID2 
PMID22898539Line302|929 932|PRC1 
PMID22898539Line302|943 946|BMI1 
PMID22898539Line302|1028 1031|BMI1 
PMID22898539Line302|1105 1108|PRC1 
PMID22898539Line302|1140 1145|DNMT3A 
PMID22898539Line302|1436 1440|BRCA1 
PMID22898539Line302|1495 1499|ASXL1 
PMID22898539Line302|1638 1642|ASXL1 
PMID22898539Line302|1763 1765|MLL 
PMID22898539Line302|1877 1879|MLL 
PMID22898539Line302|2020 2022|MLL 
PMID22898539Line302|2093 2095|MLL 
PMID22898539Line302|2166 2168|MLL 
PMID22898539Line302|2202 2206|DOT1L 
PMID22898539Line302|2243 2245|MLL 
PMID22898539Line302|2349 2351|MLL 
PMID22898539Line302|1470 1493|addition of sex combs-like 1 
PMID22898539Line302|1740 1761|Mixed-lineage leukaemia 
PMID24335498Line93|49 52|SMC3 
PMID22035746Line165|22 25|JAK2 
PMID22878824Line128|21 24|IDH1 
PMID22878824Line128|65 68|IDH2 
PMID22035746Line88|123 125|LDH 
PMID25006131Line76|189 193|STAG2 
PMID25006131Line76|201 205|RAD21 
PMID25006131Line76|214 217|SMC3 
PMID22898539Line251|19 22|JAK2 
PMID22898539Line251|46 50|PRMT5 
PMID22898539Line251|112 115|JAK2 
PMID22878824Line99|56 59|FLT3 
PMID22878824Line99|231 234|FLT3 
PMID23223431Line155|33 37|GATA2 
PMID21339759Line38|61 64|EZH2 
PMID23978506Line19|76 79|JAK2 
PMID23978506Line19|116 119|JAK2 
PMID23978506Line19|123 125|MPL 
PMID25465125Line51|61 64|TET2 
PMID21605981Line103|48 52|GATA1 
PMID21605981Line103|56 60|GATA2 
PMID25465125Line57|9 14|DNMT3A 
PMID21605981Line207|56 59|EVI1 
PMID21605981Line207|107 110|EVI1 
PMID21605981Line207|164 168|GATA2 
PMID23531518Line30|53 57|ASXL1 
PMID23531518Line30|61 64|EZH2 
PMID22375971Line91|0 2|S3A 
PMID23619563Line91|35 39|ASXL1 
PMID23619563Line91|63 67|SRSF2 
PMID23619563Line91|71 74|IDH1 
PMID23619563Line91|153 157|ASXL1 
PMID23619563Line91|159 163|SRSF2 
PMID23619563Line91|166 169|IDH1 
PMID24335498Line163|106 109|FLT3 
PMID24335498Line163|145 148|FLT3 
PMID22210327Line56|36 39|BCOR 
PMID22210327Line56|48 53|BCORL1 
PMID22210327Line56|325 330|BCORL1 
PMID22210327Line56|505 510|BCORL1 
PMID23978506Line134|86 89|JAK2 
PMID23978506Line134|152 155|JAK2 
PMID21714648Line118|136 139|ETV6 
PMID21714648Line118|143 146|GNAS 
PMID22878824Line105|71 74|FLT3 
PMID25465125Line63|34 37|IDH1 
PMID21714648Line69|43 46|NRAS 
PMID21714648Line69|48 51|KRAS 
PMID21714648Line69|53 56|BRAF 
PMID21714648Line69|58 61|JAK2 
PMID21714648Line69|63 66|GNAS 
PMID21714648Line69|68 71|FLNB 
PMID21714648Line69|73 75|MET 
PMID21714648Line69|77 80|EGFR 
PMID21714648Line69|82 85|CDH1 
PMID21714648Line69|90 95|PTPN11 
PMID22898539Line262|70 72|PML 
PMID22898539Line262|75 82|RARalpha 
PMID20601954Line41|28 31|EZH2 
PMID20601954Line41|71 74|EZH2 
PMID20601954Line41|183 186|EZH2 
PMID22898539Line79|28 33|DNMT3A 
PMID23896413Line81|0 5|SETBP1 
PMID23896413Line81|97 100|PP2A 
PMID22878824Line324|107 110|FLT3 
PMID22898539Line77|13 18|DNMT3A 
PMID21605981Line80|20 24|GATA2 
PMID21714648Line132|0 3|TET2 
PMID19282830Line12|66 70|RUNX1 
PMID22898539Line219|29 32|BMI1 
PMID22898539Line219|50 53|PRC1 
PMID19282830Line9|10 14|RUNX1 
PMID23223431Line17|106 109|SBDS 
PMID19282830Line85|47 51|RUNX1 
PMID19282830Line85|86 89|FLT3 
PMID21605981Line178|49 53|GATA2 
PMID24335498Line120|0 4|STAG1 
PMID24335498Line120|6 10|STAG2 
PMID24335498Line120|12 15|SMC3 
PMID24335498Line120|20 24|RAD21 
PMID24335498Line120|95 99|SMC1A 
PMID22878824Line125|13 16|IDH2 
PMID22878824Line125|50 53|IDH1 
PMID25465125Line59|15 20|DNMT3A 
PMID23223431Line46|13 17|GATA2 
PMID21605981Line34|26 30|GATA4 
PMID21605981Line34|32 36|GATA5 
PMID21605981Line34|40 44|GATA6 
PMID25465125Line142|7 10|ETV6 
PMID25465125Line142|21 26|PDGFRB 
PMID25465125Line142|29 31|IL3 
PMID23531518Line136|96 100|ASXL1 
PMID23531518Line136|194 198|SF3B1 
PMID23531518Line136|200 223|splicing factor 3B subunit 1 
PMID23531518Line136|225 229|SRSF2 
PMID23531518Line136|231 265|serine/arginine-rich splicing factor 2 
PMID23531518Line136|267 272|U2AF35 
PMID23531518Line136|276 307|small-nuclear RNA auxiliary factor 1 
PMID23531518Line73|13 17|ASXL1 
PMID22878824Line123|0 3|IDH1 
PMID22878824Line123|117 120|NPM1 
PMID22878824Line123|128 131|FLT3 
PMID21605981Line227|22 26|GATA2 
PMID21605981Line317|33 37|GATA2 
PMID21605981Line317|158 161|KLK2 
PMID21605981Line317|165 169|AZGP1 
PMID24986690Line159|103 106|JAK2 
PMID24986690Line159|108 111|CALR 
PMID24986690Line159|116 118|MPL 
PMID20601954Line25|81 84|EZH2 
PMID22878824Line321|33 36|FLT3 
PMID25465125Line117|0 2|UTX 
PMID23619563Line36|65 68|CD34 
PMID23978506Line58|0 2|MPL 
PMID22210327Line23|126 129|BCOR 
PMID22210327Line23|131 133|RAR 
PMID21339759Line26|57 60|IDH1 
PMID21339759Line26|62 65|IDH2 
PMID21339759Line26|67 70|NPM1 
PMID21339759Line26|74 77|EZH2 
PMID23896413Line62|31 35|G-CSF 
PMID23896413Line62|75 79|CSF3R 
PMID24986690Line166|161 164|CALR 
PMID24986690Line166|196 199|JAK2 
PMID24986690Line166|222 224|MPL 
PMID24986690Line166|293 296|JAK2 
PMID23978506Line181|26 29|JAK2 
PMID22898539Line203|47 50|EZH2 
PMID22898539Line203|144 148|SUZ12 
PMID22898539Line203|175 177|EED 
PMID23978506Line128|71 74|JAK2 
PMID22035746Line77|1 4|JAK2 
PMID23896413Line15|13 15|BCR 
PMID23896413Line15|17 20|ABL1 
PMID23896413Line15|39 44|PDGFRA 
PMID23896413Line15|46 51|PDGFRB 
PMID23896413Line15|55 59|FGFR1 
PMID25465125Line214|9 13|SF3B1 
PMID22878824Line133|56 59|FLT3 
PMID22878824Line133|65 68|NPM1 
PMID23531518Line72|0 4|ASXL1 
PMID25465125Line143|61 64|ETV6 
PMID25465125Line143|150 153|ETV6 
PMID25465125Line228|25 29|SRSF2 
PMID21714648Line107|10 13|NRAS 
PMID21714648Line107|144 147|NRAS 
PMID22878824Line323|30 33|FLT3 
PMID25465125Line153|13 18|SETBP1 
PMID25465125Line153|112 116|ASXL1 
PMID25465125Line153|118 121|EZH2 
PMID25465125Line153|126 130|SRSF2 
PMID24335498Line104|63 66|NPM1 
PMID24335498Line104|113 116|NPM1 
PMID24335498Line104|132 135|NPM1 
PMID24335498Line104|190 193|NPM1 
PMID23223431Line199|52 56|GATA2 
PMID23223431Line199|240 244|GATA2 
PMID23223431Line199|313 317|GATA2 
PMID21605981Line267|120 124|GATA2 
PMID21605981Line267|163 166|ETO2 
PMID21605981Line267|173 176|ETO2 
PMID23223431Line125|55 59|GATA2 
PMID22323480Line101|35 39|ZRSR2 
PMID22323480Line101|41 46|LUC7L2 
PMID22323480Line101|51 55|PRPF8 
PMID22323480Line101|71 75|SF3B1 
PMID22323480Line101|77 81|U2AF1 
PMID22323480Line101|86 90|SRSF2 
PMID24335498Line113|50 53|NPM1 
PMID24335498Line113|175 178|NPM1 
PMID24986690Line35|303 306|JAK2 
PMID24986690Line35|308 310|MPL 
PMID24986690Line35|315 318|CALR 
PMID21605981Line257|36 40|GATA2 
PMID21605981Line257|95 99|GATA2 
PMID20601954Line7|2 5|EZH2 
PMID25465125Line131|36 39|BCOR 
PMID21605981Line322|26 30|GATA2 
PMID23531518Line40|396 400|ASXL1 
PMID23531518Line40|452 456|SF3B1 
PMID23531518Line40|458 462|SRSF2 
PMID23531518Line40|466 471|U2AF35 
PMID23531518Line40|489 493|U2AF1 
PMID21605981Line51|26 30|GATA2 
PMID23978506Line142|85 88|JAK2 
PMID23531518Line2|63 67|ASXL1 
PMID23223431Line11|77 81|GATA2 
PMID21605981Line150|15 18|FOG1 
PMID21605981Line150|71 75|GATA2 
PMID21605981Line150|114 117|FOG1 
PMID21605981Line150|128 132|GATA2 
PMID21605981Line215|31 35|GATA1 
PMID21605981Line215|39 43|GATA2 
PMID23531518Line91|17 21|ASXL1 
PMID23619563Line113|10 14|ASXL1 
PMID22898539Line100|0 5|DNMT3A 
PMID22898539Line100|28 33|DNMT3L 
PMID22898539Line100|36 39|DNMT 
PMID22898539Line100|109 114|DNMT3A 
PMID22898539Line100|116 121|DNMT3L 
PMID22898539Line100|147 152|DNMT3A 
PMID25465125Line183|21 24|JAK2 
PMID25465125Line183|92 95|JAK2 
PMID25006131Line11|87 91|STAG2 
PMID24335498Line141|27 31|SMC1A 
PMID24335498Line141|33 36|SMC3 
PMID24335498Line141|41 45|RAD21 
PMID24335498Line141|94 98|STAG1 
PMID19282830Line153|75 79|RUNX1 
PMID19282830Line105|120 124|RUNX1 
PMID25006131Line181|160 164|STAG2 
PMID25006131Line181|213 217|STAG2 
PMID25006131Line181|325 329|STAG2 
PMID25006131Line181|435 439|STAG2 
PMID25006131Line181|539 542|SMC3 
PMID25006131Line181|546 550|RAD21 
PMID25006131Line181|608 611|SMC3 
PMID25006131Line181|640 644|RAD21 
PMID25006131Line181|801 804|SMC3 
PMID25006131Line181|832 836|RAD21 
PMID22898539Line246|8 11|JAK2 
PMID22898539Line246|21 24|JAK2 
PMID23978506Line109|64 67|JAK2 
PMID23978506Line109|71 73|MPL 
PMID22898539Line191|85 88|EZH2 
PMID23619563Line75|146 149|EZH2 
PMID23619563Line75|184 188|ASXL1 
PMID23619563Line75|224 228|SRSF2 
PMID23531518Line125|60 64|ASXL1 
PMID21605981Line277|5 9|GATA2 
PMID21605981Line277|147 151|GATA2 
PMID21605981Line298|26 30|GATA2 
PMID21605981Line298|131 135|GATA2 
PMID21605981Line298|158 162|GATA2 
PMID23223431Line189|133 137|GATA2 
PMID23223431Line189|298 302|GATA2 
PMID23896413Line60|50 54|CSF3R 
PMID22878824Line127|17 20|IDH2 
PMID22878824Line127|65 68|NPM1 
PMID22878824Line127|81 84|FLT3 
PMID22898539Line252|41 45|PRMT5 
PMID22898539Line252|87 91|PRMT5 
PMID22898539Line252|96 115|methylosome protein 50 
PMID22898539Line252|117 121|MEP50 
PMID24986690Line10|35 38|CALR 
PMID24986690Line10|57 60|JAK2 
PMID24986690Line168|203 206|CALR 
PMID24986690Line168|208 211|JAK2 
PMID24986690Line168|216 218|MPL 
PMID23223431Line132|33 37|GATA2 
PMID24986690Line28|60 64|ASXL1 
PMID24986690Line28|66 70|SRSF2 
PMID24986690Line28|72 75|EZH2 
PMID24986690Line28|77 80|IDH1 
PMID24986690Line28|85 88|IDH2 
PMID25465125Line133|114 117|BCOR 
PMID23054646Line71|103 108|U2AF35 
PMID25465125Line55|120 124|DNMT1 
PMID25465125Line55|128 133|DNMT3A 
PMID25465125Line55|205 210|DNMT3B 
PMID21339759Line30|70 74|ASXL1 
PMID23223431Line31|71 75|GATA2 
PMID22210327Line34|19 24|BCORL1 
PMID22210327Line34|136 141|BCORL1 
PMID21605981Line119|45 48|FOG1 
PMID21605981Line275|10 14|GATA2 
PMID23619563Line101|171 175|ASXL1 
PMID21605981Line256|34 38|GATA1 
PMID21605981Line256|45 49|GATA2 
PMID21605981Line256|96 98|WT1 
PMID21605981Line256|139 141|WT1 
PMID25465125Line130|53 56|BCOR 
PMID25465125Line130|60 65|BCORL1 
PMID23223431Line179|36 40|GATA2 
PMID21714648Line86|0 3|TET2 
PMID21714648Line86|90 93|TET2 
PMID25465125Line168|0 3|TP53 
PMID22878824Line167|43 45|KIT 
PMID23531518Line42|0 4|ASXL1 
PMID23531518Line42|6 10|SF3B1 
PMID23531518Line42|14 18|SRSF2 
PMID19282830Line2|0 4|RUNX1 
PMID23978506Line116|117 120|JAK2 
PMID22323480Line175|36 40|U2AF1 
PMID23223431Line8|31 35|GATA2 
PMID22035746Line21|157 159|BCR 
PMID22035746Line21|161 164|ABL1 
PMID22323480Line91|56 60|ZRSR2 
PMID22323480Line91|71 75|SRSF2 
PMID25465125Line90|88 92|ASXL1 
PMID22898539Line167|48 51|TET2 
PMID21605981Line258|71 75|GATA2 
PMID23978506Line144|32 35|JAK2 
PMID23978506Line75|10 13|JAK2 
PMID23978506Line75|17 19|MPL 
PMID25465125Line181|46 49|JAK2 
PMID25465125Line181|202 215|erythropoietin 
PMID25465125Line181|220 233|thrombopoietin 
PMID22898539Line304|129 154|retinoic acid receptor-alpha 
PMID22898539Line304|156 159|RARA 
PMID22898539Line304|221 223|PML 
PMID22898539Line304|225 228|RARA 
PMID22898539Line304|306 317|PML-RARalpha 
PMID22898539Line304|454 465|PML-RARalpha 
PMID22898539Line304|616 619|PLZF 
PMID22898539Line304|799 810|PML-RARalpha 
PMID22898539Line304|842 845|PRC1 
PMID22898539Line304|870 873|BMI1 
PMID22898539Line304|954 957|PRC1 
PMID22898539Line304|1068 1071|PLZF 
PMID22898539Line304|1094 1097|CBX4 
PMID22898539Line304|1099 1124|chromobox protein homologue 4 
PMID22898539Line304|1159 1162|EZH2 
PMID22898539Line304|1277 1279|PH1 
PMID22898539Line304|1281 1305|polyhomeotic-like protein 1 
PMID22898539Line304|1307 1311|SUZ12 
PMID22898539Line304|583 614|promyelocytic leukaemia zinc finger 
PMID22898539Line304|93 114|promyelocytic leukaemia 
PMID24986690Line6|41 44|JAK2 
PMID24986690Line6|67 70|CALR 
PMID24986690Line6|99 101|MPL 
PMID24986690Line6|141 144|JAK2 
PMID24986690Line6|146 149|CALR 
PMID24986690Line6|154 156|MPL 
PMID24986690Line7|12 15|CALR 
PMID22878824Line146|31 34|IDH1 
PMID22878824Line146|37 40|IDH2 
PMID22878824Line146|44 48|DNMT3 
PMID22878824Line318|23 26|NPM1 
PMID22878824Line318|29 33|CEBPA 
PMID22878824Line318|94 96|CBF 
PMID22323480Line148|44 48|SF3B1 
PMID22323480Line148|198 202|SF3B1 
PMID23978506Line83|94 97|JAK2 
PMID23619563Line33|92 95|EZH2 
PMID23619563Line33|99 102|TET2 
PMID23619563Line33|156 161|DNMT3A 
PMID23619563Line33|163 165|CBL 
PMID23619563Line33|167 171|ASXL1 
PMID23619563Line33|173 176|IDH1 
PMID23619563Line33|178 181|IDH2 
PMID23619563Line33|183 187|SRSF2 
PMID23619563Line33|191 193|MPL 
PMID23978506Line96|33 36|JAK2 
PMID23978506Line96|40 42|MPL 
PMID23978506Line34|83 86|JAK2 
PMID23978506Line34|90 92|MPL 
PMID23619563Line77|64 68|ASXL1 
PMID23619563Line77|101 105|SRSF2 
PMID23619563Line77|142 145|IDH1 
PMID23619563Line77|148 151|IDH2 
PMID23619563Line77|191 194|EZH2 
PMID23531518Line87|34 38|SRSF2 
PMID23531518Line87|40 44|SF3B1 
PMID23531518Line87|47 52|U2AF35 
PMID23978506Line245|47 50|TET2 
PMID23978506Line245|52 56|ASXL1 
PMID23978506Line245|61 64|EZH2 
PMID22898539Line147|88 91|Tet2 
PMID23531518Line8|30 34|ASXL1 
PMID21605981Line247|0 4|GATA1 
PMID21605981Line247|85 89|GATA1 
PMID22878824Line331|114 117|NPM1 
PMID22323480Line197|223 226|TET2 
PMID22323480Line197|403 406|TET2 
PMID22323480Line197|499 503|U2AF1 
PMID22323480Line197|750 754|RUNX1 
PMID22323480Line197|823 827|U2AF1 
PMID22323480Line197|831 835|SRSF2 
PMID22323480Line197|908 912|SF3B1 
PMID25465125Line45|50 53|TET2 
PMID24335498Line108|78 81|FLT3 
PMID24335498Line108|87 90|IDH1 
PMID24335498Line108|92 95|IDH2 
PMID24335498Line108|99 102|NRAS 
PMID25006131Line82|2 6|STAG2 
PMID25465125Line93|66 70|ASXL1 
PMID21605981Line52|8 12|GATA2 
PMID21714648Line51|51 54|TET2 
PMID21714648Line51|56 60|RUNX1 
PMID21714648Line51|62 65|TP53 
PMID21714648Line51|67 72|CDKN2A 
PMID21714648Line51|74 77|PTEN 
PMID21714648Line51|79 82|NPM1 
PMID21714648Line51|93 95|CBL 
PMID22878824Line166|22 24|KIT 
PMID22323480Line119|10 14|SRSF2 
PMID22323480Line119|42 46|U2AF1 
PMID22323480Line119|56 60|U2AF1 
PMID23896413Line104|169 173|CSF3R 
PMID22323480Line141|135 139|SF3B1 
PMID22323480Line141|174 178|SRSF2 
PMID21605981Line135|37 41|GATA1 
PMID21605981Line135|46 48|SCL 
PMID21605981Line135|102 106|GATA2 
PMID21605981Line135|122 126|GATA2 
PMID21605981Line135|143 145|SCL 
PMID21605981Line135|156 158|KIT 
PMID21605981Line135|162 166|GATA2 
PMID23619563Line128|104 108|ASXL1 
PMID23619563Line128|140 144|ASXL1 
PMID23619563Line128|146 150|SRSF2 
PMID23619563Line128|152 155|IDH1 
PMID25006131Line113|54 58|STAG2 
PMID25006131Line113|62 65|SMC3 
PMID23978506Line143|7 10|JAK2 
PMID23978506Line143|107 110|JAK2 
PMID10706759Line2|18 21|PTEN 
PMID10706759Line2|23 27|MMAC1 
PMID22323480Line89|57 61|PRPF8 
PMID24986690Line95|24 27|CALR 
PMID24986690Line95|59 62|CALR 
PMID24986690Line95|111 114|JAK2 
PMID21605981Line329|59 63|GATA2 
PMID21605981Line329|212 216|GATA1 
PMID21605981Line329|234 238|GATA1 
PMID21605981Line329|247 251|GATA2 
PMID21605981Line329|289 293|GATA2 
PMID21605981Line329|371 375|GATA1 
PMID21605981Line329|377 380|FOG1 
PMID21605981Line329|384 387|FOG1 
PMID23531518Line76|183 187|SRSF2 
PMID23531518Line76|199 203|SF3B1 
PMID21605981Line156|45 49|GATA2 
PMID21605981Line156|240 244|GATA2 
PMID21605981Line114|0 4|CtBP1 
PMID21605981Line114|34 37|FOG1 
PMID21605981Line114|79 82|FOG1 
PMID21605981Line114|143 146|FOG1 
PMID21605981Line114|232 235|FOG1 
PMID21605981Line114|321 324|FOG1 
PMID21605981Line114|357 360|FOG1 
PMID22035746Line75|55 57|EPO 
PMID23896413Line70|51 55|CSF3R 
PMID23896413Line70|138 142|CSF3R 
PMID25465125Line225|18 22|SRSF2 
PMID25465125Line160|14 32|GATA binding protein 2 
PMID25465125Line160|34 59|globin transcription factor 2 
PMID25465125Line160|62 66|GATA2 
PMID19282830Line107|172 176|RUNX1 
PMID25465125Line194|23 25|CBL 
PMID10706759Line86|20 23|PTEN 
PMID10706759Line86|25 29|MMAC1 
PMID10706759Line86|87 90|PTEN 
PMID10706759Line86|92 96|MMAC1 
PMID21605981Line181|59 63|GATA2 
PMID23619563Line108|23 27|SRSF2 
PMID23619563Line108|30 33|IDH1 
PMID22323480Line152|62 66|SF3B1 
PMID21714648Line128|63 66|EZH2 
PMID21714648Line128|70 74|ASXL1 
PMID22878824Line140|65 70|DNMT3A 
PMID23896413Line92|112 116|CSF3R 
PMID23896413Line92|120 125|SETBP1 
PMID23896413Line92|158 162|CSF3R 
PMID23896413Line92|185 190|SETBP1 
PMID23619563Line118|152 155|STAT 
PMID23223431Line121|45 47|MLL 
PMID22898539Line109|64 69|DNMT3A 
PMID23978506Line9|65 67|BCR 
PMID23978506Line9|69 72|ABL1 
PMID21339759Line46|94 97|EZH2 
PMID21339759Line46|136 139|TET2 
PMID21339759Line46|158 162|ASXL1 
PMID21339759Line46|170 174|RUNX1 
PMID21339759Line46|182 184|CBL 
PMID21339759Line46|192 195|JAK2 
PMID21339759Line46|203 206|NRAS 
PMID21339759Line46|227 230|IDH2 
PMID23054646Line14|94 99|DNMT3A 
PMID23054646Line14|101 104|TET2 
PMID23054646Line14|109 112|IDH1 
PMID23054646Line14|140 144|ASXL1 
PMID23054646Line14|148 151|EZH2 
PMID25465125Line210|0 4|SF3B1 
PMID23223431Line201|12 16|RUNX1 
PMID23223431Line201|20 24|CEBPA 
PMID23978506Line90|43 46|JAK2 
PMID23978506Line90|145 148|JAK2 
PMID23978506Line90|160 163|JAK1 
PMID24335498Line83|58 61|SMC3 
PMID24335498Line83|65 69|STAG2 
PMID24986690Line44|22 25|JAK2 
PMID24986690Line44|29 31|MPL 
PMID24986690Line44|46 49|CALR 
PMID22878824Line141|28 33|DNMT3A 
PMID22878824Line141|108 111|NPM1 
PMID22878824Line141|125 128|FLT3 
PMID22878824Line141|135 138|NPM1 
PMID22878824Line141|162 165|FLT3 
PMID22878824Line141|203 206|NPM1 
PMID22878824Line141|222 225|FLT3 
PMID10706759Line95|130 133|PTEN 
PMID10706759Line95|135 139|MMAC1 
PMID10706759Line12|25 28|PTEN 
PMID10706759Line12|30 34|MMAC1 
PMID23619563Line89|32 36|ASXL1 
PMID25465125Line184|13 16|JAK2 
PMID25465125Line184|100 103|JAK2 
PMID22035746Line36|41 43|BCR 
PMID22035746Line36|45 48|ABL1 
PMID24986690Line103|25 28|JAK2 
PMID24986690Line103|30 33|CALR 
PMID24986690Line103|38 40|MPL 
PMID25465125Line151|30 35|SETBP1 
PMID25465125Line115|0 2|UTX 
PMID25465125Line115|50 53|EZH2 
PMID22878824Line135|3 8|DNMT3A 
PMID21605981Line250|27 31|GATA2 
PMID25465125Line179|0 3|JAK2 
PMID24335498Line96|24 27|SMC3 
PMID23978506Line20|27 30|JAK2 
PMID23978506Line20|113 126|erythropoietin 
PMID23896413Line71|0 4|CSF3R 
PMID24986690Line102|38 41|CALR 
PMID24986690Line102|131 134|JAK2 
PMID20601954Line71|8 11|EZH2 
PMID20601954Line71|389 392|CUL1 
PMID20601954Line71|396 399|EZH2 
PMID20601954Line71|485 488|EZH2 
PMID21605981Line167|0 4|GATA2 
PMID22878824Line150|0 3|NPM1 
PMID22878824Line150|37 40|FLT3 
PMID22878824Line150|125 128|FLT3 
PMID24986690Line97|94 97|CALR 
PMID24986690Line97|127 130|JAK2 
PMID24986690Line97|209 212|CALR 
PMID24986690Line97|254 257|CALR 
PMID24986690Line97|278 281|JAK2 
PMID23978506Line89|49 52|JAK2 
PMID22898539Line199|69 72|EZH2 
PMID25465125Line187|0 2|CBL 
PMID25465125Line218|15 19|ABCB7 
PMID25465125Line256|13 17|STAG2 
PMID21605981Line313|33 37|GATA2 
PMID21605981Line269|66 70|GATA2 
PMID21605981Line269|152 156|GATA2 
PMID23896413Line69|77 81|CSF3R 
PMID21605981Line87|68 72|Gata2 
PMID23619563Line87|90 94|ASXL1 
PMID23978506Line121|39 42|JAK2 
PMID23978506Line121|46 48|MPL 
PMID25006131Line131|54 58|STAG2 
PMID25006131Line131|93 97|STAG2 
PMID25006131Line131|165 169|STAG2 
PMID22878824Line109|9 12|FLT3 
PMID22878824Line109|87 89|PML 
PMID22878824Line109|91 94|RARA 
PMID22878824Line109|134 137|FLT3 
PMID22878824Line109|143 146|FLT3 
PMID19282830Line6|0 4|RUNX1 
PMID21605981Line101|3 7|GATA1 
PMID21605981Line101|11 15|GATA2 
PMID21605981Line101|167 171|GATA1 
PMID21605981Line101|175 179|GATA2 
PMID20601954Line23|119 122|EZH2 
PMID21605981Line299|42 46|GATA2 
PMID21605981Line299|119 122|FLT3 
PMID21605981Line299|130 133|NPM1 
PMID21605981Line299|147 150|EVI1 
PMID21605981Line299|154 156|WT1 
PMID25465125Line107|0 3|EZH2 
PMID25465125Line107|32 35|TET2 
PMID21605981Line44|13 17|Gata2 
PMID21605981Line44|76 80|Gata2 
PMID23223431Line224|0 4|GATA2 
PMID23978506Line203|27 30|JAK2 
PMID24335498Line90|52 56|STAG2 
PMID24335498Line90|60 64|SMC1A 
PMID22898539Line111|56 59|TET1 
PMID22898539Line111|78 80|MLL 
PMID22898539Line226|34 38|ASXL1 
PMID22898539Line226|101 105|ASXL1 
PMID22898539Line254|4 7|JAK2 
PMID22898539Line254|42 46|PRMT5 
PMID24335498Line164|43 46|NPM1 
PMID24335498Line164|58 61|FLT3 
PMID24335498Line164|78 81|NPM1 
PMID24335498Line164|93 96|FLT3 
PMID24335498Line164|113 116|NPM1 
PMID24335498Line164|126 129|FLT3 
PMID24335498Line164|195 198|NPM1 
PMID24335498Line164|222 225|FLT3 
PMID22898539Line115|84 87|TET2 
PMID22898539Line115|262 265|TET2 
PMID23223431Line188|22 26|GATA2 
PMID25006131Line85|19 23|RAD21 
PMID21605981Line226|0 3|ETS1 
PMID21605981Line226|163 167|GATA2 
PMID21605981Line9|9 13|GATA2 
PMID21605981Line38|7 11|Gata1 
PMID21605981Line38|72 76|Gata3 
PMID21605981Line38|94 98|Gata1 
PMID23978506Line179|35 38|JAK2 
PMID23978506Line179|71 75|SET-2 
PMID19282830Line25|0 4|RUNX1 
PMID19282830Line25|18 21|AML1 
PMID19282830Line25|100 104|G-CSF 
PMID19282830Line25|106 109|IL-3 
PMID19282830Line25|128 142|myeloperoxidase 
PMID22210327Line14|19 24|BCORL1 
PMID22898539Line210|49 52|EZH2 
PMID22898539Line210|100 103|EZH2 
PMID24986690Line72|65 68|CALR 
PMID24986690Line72|96 99|JAK2 
PMID22898539Line101|0 5|DNMT3L 
PMID22898539Line101|83 88|DNMT3A 
PMID19282830Line134|43 47|RUNX1 
PMID19282830Line134|60 63|FLT3 
PMID24986690Line124|58 61|JAK2 
PMID24986690Line124|65 67|MPL 
PMID24986690Line124|138 141|CALR 
PMID24986690Line124|214 217|JAK2 
PMID24986690Line124|219 222|CALR 
PMID23978506Line25|19 22|JAK2 
PMID23978506Line25|31 33|MPL 
PMID25465125Line163|192 196|GATA2 
PMID23978506Line146|102 105|JAK2 
PMID22898539Line107|34 39|Dnmt3a 
PMID23223431Line47|93 97|ELANE 
PMID23223431Line47|99 103|CXCR4 
PMID23223431Line47|105 108|SBDS 
PMID23223431Line47|110 113|HAX1 
PMID23223431Line47|118 122|G6PC3 
PMID23223431Line47|184 188|GATA2 
PMID22898539Line132|88 91|TET2 
PMID23896413Line83|0 5|SETBP1 
PMID23896413Line83|76 81|SETBP1 
PMID21714648Line28|11 14|TP53 
PMID21714648Line28|16 19|NRAS 
PMID21714648Line28|21 25|RUNX1 
PMID21714648Line28|27 30|TET2 
PMID21714648Line28|35 38|IDH1 
PMID21714648Line28|42 45|IDH2 
PMID21714648Line108|0 3|EZH2 
PMID25465125Line235|0 4|U2AF1 
PMID21714648Line156|260 263|TP53 
PMID21714648Line156|265 268|EZH2 
PMID21714648Line156|270 273|ETV6 
PMID21714648Line156|275 279|RUNX1 
PMID21714648Line156|283 287|ASXL1 
PMID22878824Line142|75 80|DNMT3A 
PMID22210327Line43|9 12|BCOR 
PMID22210327Line43|117 121|PCGF1 
PMID22210327Line43|123 127|NSPC1 
PMID22210327Line43|152 157|FBXL10 
PMID22210327Line43|171 174|BCOR 
PMID23223431Line33|45 49|GATA2 
PMID24335498Line138|153 156|IDH1 
PMID24335498Line138|158 161|IDH2 
PMID24335498Line138|166 169|TET2 
PMID22878824Line303|173 175|KIT 
PMID10706759Line19|25 28|PTEN 
PMID10706759Line19|30 34|MMAC1 
PMID19282830Line118|31 35|RUNX1 
PMID21605981Line291|25 29|GATA2 
PMID23978506Line180|72 75|JAK2 
PMID23978506Line202|42 45|JAK2 
PMID23619563Line8|82 86|ASXL1 
